path,risk_score,lines,complexity,churn,touches,update_methods,public_fields,reflection_hits,magic_numbers
Assets/GameMain/Scripts/RunTime/UI/SuperText/RichTextTagParser.cs,74.65,210,33,210,1,0,0,0,0
Assets/Demos/FunctionDev/CharacterControllerDemo/BoxCastDebugger.cs,73.71,211,9,211,1,0,8,0,17
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/MatDoor/MatDoorControl.cs,73.32,132,12,134,2,1,0,0,0
Assets/Core/Logger/LogTag.cs,71.67,100,4,152,19,0,0,0,2
Assets/GameMain/Scripts/Editor/Level/LDtkPostProcessor/LDtkIdentifiersProcessor.cs,70.78,142,23,154,7,0,0,0,0
Assets/GameMain/Scripts/RunTime/GamePlay/Entities/LDtkEntity.cs,70.46,107,11,109,2,0,9,0,4
Assets/Demos/FunctionDev/CharacterControllerDemo/PlayerCollisionCapability.cs,69.57,228,16,236,2,0,1,0,4
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/PlayerControlComponent.cs,69.56,493,1,493,5,0,6,0,0
Assets/Core/FP/Result.cs,68.53,213,20,465,4,0,0,0,0
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/Checkpoint/MatCheckpointControl.cs,67.67,130,9,164,5,1,2,0,1
Assets/Core/GameCoreSystems/Stats/StatsManager.cs,67.02,199,23,201,2,1,0,0,0
Assets/GameMain/Scripts/RunTime/GameCoreSystems/LevelManager/LevelStateRegistry.cs,66.33,160,30,160,1,0,0,0,0
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/PlayerStMachineThrow.cs,64.96,135,18,145,4,0,0,0,1
Assets/Rendering/RainRust/RenderPasses/RainRustJfaPass.cs,63.12,126,15,146,4,0,4,0,1
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/WaveControl/ZoneWaveControl.cs,63.0,72,3,72,1,1,7,0,9
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/PlayerNormalStJump.cs,59.04,127,23,131,3,0,0,0,2
Assets/Core/Input/InputEvents.cs,58.84,155,17,155,1,0,3,0,2
